epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2603.49,0.69222,3.48879,0.96699,0.00651,0.015,0.00393,0.00369,0.48565,3.36695,1.16326,1.0895e-05,1.0895e-05,1.0895e-05
81,2639.15,0.69716,3.49325,0.96334,0.00521,0.01469,0.00329,0.00306,0.48912,3.364,1.1607,1.04e-05,1.04e-05,1.04e-05
82,2674.82,0.68996,3.48885,0.96184,0.00653,0.01454,0.00396,0.00372,0.4845,3.36706,1.16168,9.905e-06,9.905e-06,9.905e-06
83,2711.78,0.69778,3.48963,0.96364,0.00603,0.0148,0.00373,0.00348,0.48786,3.36504,1.16029,9.41e-06,9.41e-06,9.41e-06
84,2748.59,0.71682,3.4923,0.96655,0.00633,0.01536,0.00391,0.00365,0.48367,3.36919,1.16393,8.915e-06,8.915e-06,8.915e-06
85,2785.1,0.68431,3.48694,0.96974,0.00609,0.0152,0.00377,0.00347,0.48343,3.37095,1.16603,8.42e-06,8.42e-06,8.42e-06
86,2821.73,0.67428,3.47685,0.95758,0.00621,0.01561,0.00389,0.00361,0.48388,3.36931,1.16331,7.925e-06,7.925e-06,7.925e-06
87,2858.42,0.71545,3.49343,0.96599,0.00635,0.01612,0.00394,0.00367,0.48426,3.36689,1.1641,7.43e-06,7.43e-06,7.43e-06
88,2895.02,0.69995,3.48651,0.96429,0.00669,0.01582,0.00412,0.00381,0.48698,3.3663,1.16242,6.935e-06,6.935e-06,6.935e-06
89,2931.79,0.70379,3.48555,0.96095,0.00683,0.01643,0.00426,0.00396,0.48067,3.36747,1.16374,6.44e-06,6.44e-06,6.44e-06
90,2968.83,0.69787,3.48417,0.95973,0.00684,0.01684,0.00422,0.00389,0.48278,3.36845,1.16736,5.945e-06,5.945e-06,5.945e-06
91,3001.33,0.6198,3.5508,1.01986,0.00647,0.01357,0.00375,0.00344,0.52423,3.38495,1.18315,5.45e-06,5.45e-06,5.45e-06
92,3033.34,0.6209,3.54817,1.02433,0.00689,0.01327,0.00388,0.00352,0.53094,3.38525,1.1818,4.955e-06,4.955e-06,4.955e-06
93,3065.47,0.60672,3.53984,1.02276,0.00543,0.01332,0.0031,0.00288,0.53163,3.38961,1.1839,4.46e-06,4.46e-06,4.46e-06
94,3096.95,0.60432,3.53883,1.0243,0.00603,0.01388,0.00344,0.00317,0.54094,3.39096,1.18727,3.965e-06,3.965e-06,3.965e-06
95,3129.59,0.57535,3.51308,0.99787,0.00603,0.01398,0.00346,0.00316,0.5315,3.38824,1.18286,3.47e-06,3.47e-06,3.47e-06
96,3161.3,0.60254,3.53055,1.01638,0.00596,0.01423,0.00342,0.00316,0.52505,3.3904,1.18247,2.975e-06,2.975e-06,2.975e-06
97,3193.45,0.60073,3.53309,1.01329,0.00593,0.01449,0.00341,0.00314,0.51828,3.38875,1.18196,2.48e-06,2.48e-06,2.48e-06
98,3226.26,0.58701,3.53172,1.00873,0.00663,0.01449,0.00373,0.00345,0.51925,3.38956,1.18147,1.985e-06,1.985e-06,1.985e-06
99,3258.82,0.59312,3.5366,1.02328,0.01052,0.01367,0.00572,0.00522,0.52455,3.39435,1.18391,1.49e-06,1.49e-06,1.49e-06
100,3291.56,0.56996,3.52212,1.00737,0.00591,0.01388,0.00341,0.00316,0.52586,3.3975,1.18523,9.95e-07,9.95e-07,9.95e-07
